# トレーナーの手持ち。1行 = 1体。並びがそのまま繰り出す順。
#
# 列は named-parties.tsv に揃えてあるが、**性格・努力値・特性の欄は置かない。**
# あれはエンドゲームの調整欄で、道中のトレーナーには要らない ――
# 4つの欄すべてが空で並ぶ表を作ると、書き忘れと「書く必要が無い」が
# 区別できなくなる（Ruleset に歩数制限を足さない判断と同じ理由）。
#
# item だけ残す。原作の道中トレーナーはたまに持ち物を持つ。
trainer	species	level	moves	item
kanto-viridian-gym-gymjr-1	rhyhorn	46	rock-blast/drill-run/take-down/earthquake	-
kanto-viridian-gym-gymjr-1	dugtrio	44	mud-slap/bulldoze/slash/earth-power	-
kanto-viridian-gym-gymjr-2	sandslash	46	bulldoze/swift/fury-swipes/slash	-
kanto-viridian-gym-gymjr-2	rhyhorn	44	stomp/rock-blast/drill-run/take-down	-
kanto-viridian-gym-gymjr-3	dugtrio	46	mud-slap/bulldoze/slash/earth-power	-
kanto-viridian-gym-gymjr-3	sandslash	44	bulldoze/swift/fury-swipes/slash	-
kanto-rival-ssanne-bulbasaur	pidgeotto	19	wing-attack/quick-attack/sand-attack	-
kanto-rival-ssanne-bulbasaur	kadabra	18	confusion/psybeam	-
kanto-rival-ssanne-bulbasaur	raticate	18	hyper-fang/quick-attack	-
kanto-rival-ssanne-bulbasaur	charmeleon	20	flamethrower/slash/crunch	-
kanto-rival-ssanne-charmander	pidgeotto	19	wing-attack/quick-attack/sand-attack	-
kanto-rival-ssanne-charmander	kadabra	18	confusion/psybeam	-
kanto-rival-ssanne-charmander	raticate	18	hyper-fang/quick-attack	-
kanto-rival-ssanne-charmander	wartortle	20	water-pulse/bite/rapid-spin	-
kanto-rival-ssanne-squirtle	pidgeotto	19	wing-attack/quick-attack/sand-attack	-
kanto-rival-ssanne-squirtle	kadabra	18	confusion/psybeam	-
kanto-rival-ssanne-squirtle	raticate	18	hyper-fang/quick-attack	-
kanto-rival-ssanne-squirtle	ivysaur	20	razor-leaf/sludge-bomb/giga-drain	-
kanto-ss-anne-1f-sailor-1	machop	18	leer/revenge/low-sweep/knock-off	-
kanto-ss-anne-1f-sailor-1	tentacool	16	water-gun/acid/supersonic/water-pulse	-
kanto-ss-anne-1f-sailor-2	shellder	18	water-gun/withdraw/ice-shard/leer	-
kanto-ss-anne-1f-sailor-2	machop	16	leer/revenge/low-sweep/knock-off	-
kanto-ss-anne-2f-sailor-1	machop	19	leer/revenge/low-sweep/knock-off	-
kanto-ss-anne-2f-sailor-1	tentacool	17	water-gun/acid/supersonic/water-pulse	-
kanto-ss-anne-2f-sailor-2	krabby	19	water-gun/harden/metal-claw/mud-shot	-
kanto-ss-anne-2f-sailor-2	machop	17	leer/revenge/low-sweep/knock-off	-
kanto-ss-anne-2f-gentleman-1	growlithe	20	howl/bite/flame-wheel/agility	-
kanto-ss-anne-2f-gentleman-1	nidorino	18	leer/peck/poison-sting/fury-attack	-
kanto-ss-anne-b1f-sailor-1	machop	19	leer/revenge/low-sweep/knock-off	-
kanto-ss-anne-b1f-sailor-1	shellder	17	water-gun/withdraw/ice-shard/leer	-
kanto-ss-anne-b1f-sailor-2	horsea	19	leer/water-gun/smokescreen/twister	-
kanto-ss-anne-b1f-sailor-2	machop	17	leer/revenge/low-sweep/knock-off	-
kanto-ss-anne-deck-gentleman-1	growlithe	19	leer/howl/bite/flame-wheel	-
kanto-ss-anne-deck-gentleman-1	nidorina	17	poison-sting/scratch/tail-whip/fury-swipes	-
