species	gen	learnset	tm
krabby	8	1:leer,1:water-gun,4:harden,8:metal-claw,12:mud-shot,20:bubble-beam,24:stomp,32:razor-shell,36:slam,40:swords-dance,44:crabhammer	blizzard,cut,dig,double-team,hail,ice-beam,rain-dance,rock-smash,rock-tomb,strength,surf,toxic,water-pulse
kingler	8	1:hammer-arm,1:harden,1:leer,1:metal-claw,1:water-gun,12:mud-shot,20:bubble-beam,24:stomp,36:razor-shell,42:slam,48:swords-dance,54:crabhammer	blizzard,cut,dig,double-team,hail,hyper-beam,ice-beam,rain-dance,rock-smash,rock-tomb,strength,surf,toxic,water-pulse
voltorb	9	1:tackle,4:thunder-shock,6:eerie-impulse,9:spark,13:screech,16:charge-beam,20:swift,29:light-screen,37:discharge	double-team,flash,light-screen,rain-dance,shock-wave,thunder,thunderbolt,toxic
electrode	9	1:eerie-impulse,1:tackle,1:thunder-shock,9:spark,13:screech,16:charge-beam,20:swift,29:light-screen,41:discharge	double-team,flash,hyper-beam,light-screen,rain-dance,shock-wave,thunder,thunderbolt,toxic
exeggcute	9	1:absorb,1:hypnosis,5:reflect,15:mega-drain,20:confusion,30:bullet-seed,35:giga-drain,40:extrasensory,55:solar-beam	bullet-seed,double-team,flash,giga-drain,light-screen,psychic,reflect,sludge-bomb,solar-beam,strength,sunny-day,toxic
exeggutor	9	1:absorb,1:bullet-seed,1:confusion,1:extrasensory,1:giga-drain,1:hypnosis,1:leaf-storm,1:mega-drain,1:psyshock,1:reflect,1:seed-bomb,1:solar-beam,1:stomp,1:wood-hammer	bullet-seed,double-team,flash,giga-drain,hyper-beam,light-screen,psychic,reflect,sludge-bomb,solar-beam,strength,sunny-day,toxic
cubone	8	1:growl,1:mud-slap,4:tail-whip,8:false-swipe,12:headbutt,16:retaliate,24:stomping-tantrum,29:bone-rush,40:bonemerang,48:double-edge	aerial-ace,blizzard,brick-break,dig,double-team,earthquake,fire-blast,flamethrower,ice-beam,iron-tail,rock-smash,rock-tomb,sandstorm,strength,sunny-day,toxic
marowak	8	1:false-swipe,1:growl,1:mud-slap,1:tail-whip,12:headbutt,16:retaliate,24:stomping-tantrum,31:bone-rush,48:bonemerang,60:double-edge	aerial-ace,blizzard,brick-break,dig,double-team,earthquake,fire-blast,flamethrower,hyper-beam,ice-beam,iron-tail,rock-smash,rock-tomb,sandstorm,strength,sunny-day,toxic
hitmonlee	9	1:brick-break,1:low-sweep,1:tackle,4:double-kick,24:blaze-kick,28:feint,32:mega-kick	brick-break,double-team,earthquake,rain-dance,rock-smash,rock-tomb,strength,sunny-day,toxic
hitmonchan	9	1:drain-punch,1:feint,1:tackle,4:mach-punch,8:vacuum-wave,16:bullet-punch,24:fire-punch,24:ice-punch,24:thunder-punch,28:agility,32:mega-punch	brick-break,double-team,earthquake,rain-dance,rock-smash,rock-tomb,strength,sunny-day,toxic
lickitung	8	1:lick,12:supersonic,30:stomp,36:knock-off,42:screech,48:slam,54:power-whip	blizzard,brick-break,cut,dig,double-team,earthquake,fire-blast,flamethrower,hyper-beam,ice-beam,iron-tail,rain-dance,rock-smash,rock-tomb,sandstorm,shadow-ball,shock-wave,solar-beam,strength,sunny-day,surf,thunder,thunderbolt,toxic,water-pulse
koffing	9	1:poison-gas,1:tackle,4:smog,8:smokescreen,12:clear-smog,16:assurance,20:sludge,32:sludge-bomb,36:toxic	double-team,fire-blast,flamethrower,flash,rain-dance,shadow-ball,shock-wave,sludge-bomb,sunny-day,thunder,thunderbolt,toxic
weezing	9	1:double-hit,1:heat-wave,1:poison-gas,1:smog,1:smokescreen,1:tackle,12:clear-smog,16:assurance,20:sludge,32:sludge-bomb,38:toxic	double-team,fire-blast,flamethrower,flash,hyper-beam,rain-dance,shadow-ball,shock-wave,sludge-bomb,sunny-day,thunder,thunderbolt,toxic
rhyhorn	9	1:tackle,1:tail-whip,10:bulldoze,15:horn-attack,20:scary-face,25:stomp,30:rock-blast,35:drill-run,40:take-down,45:earthquake,50:stone-edge,55:megahorn	blizzard,dig,double-team,earthquake,fire-blast,flamethrower,ice-beam,iron-tail,rain-dance,rock-smash,rock-tomb,sandstorm,shock-wave,strength,sunny-day,thunder,thunderbolt,toxic
rhydon	9	1:bulldoze,1:hammer-arm,1:tackle,1:tail-whip,15:horn-attack,20:scary-face,25:stomp,30:rock-blast,35:drill-run,40:take-down,47:earthquake,54:stone-edge,61:megahorn	blizzard,brick-break,cut,dig,double-team,earthquake,fire-blast,flamethrower,hyper-beam,ice-beam,iron-tail,rain-dance,rock-smash,rock-tomb,sandstorm,shock-wave,strength,sunny-day,surf,thunder,thunderbolt,toxic
chansey	9	1:charm,1:covet,1:disarming-voice,1:pound,1:sweet-kiss,4:tail-whip,12:life-dew,16:sing,24:take-down,36:light-screen,40:double-edge,44:soft-boiled	blizzard,brick-break,calm-mind,double-team,earthquake,fire-blast,flamethrower,flash,hail,hyper-beam,ice-beam,iron-tail,light-screen,psychic,rain-dance,rock-smash,rock-tomb,safeguard,sandstorm,shadow-ball,shock-wave,solar-beam,strength,sunny-day,thunder,thunderbolt,toxic,water-pulse
tangela	8	1:absorb,4:stun-spore,12:mega-drain,16:vine-whip,20:poison-powder,28:knock-off,32:giga-drain,36:sleep-powder,40:slam,48:power-whip	bullet-seed,cut,double-team,flash,giga-drain,hyper-beam,rock-smash,sludge-bomb,solar-beam,sunny-day,toxic
kangaskhan	8	1:pound,1:tail-whip,4:growl,12:bite,16:stomp,24:headbutt,32:double-hit,36:crunch	aerial-ace,blizzard,brick-break,cut,dig,double-team,earthquake,fire-blast,flamethrower,hail,hyper-beam,ice-beam,iron-tail,rain-dance,rock-smash,rock-tomb,sandstorm,shadow-ball,shock-wave,solar-beam,strength,sunny-day,surf,thunder,thunderbolt,toxic,water-pulse
horsea	9	1:leer,1:water-gun,5:smokescreen,10:twister,20:dragon-breath,25:bubble-beam,30:agility,35:water-pulse,40:dragon-pulse,45:hydro-pump,55:rain-dance	blizzard,double-team,hail,ice-beam,rain-dance,surf,toxic,water-pulse,waterfall
seadra	9	1:leer,1:smokescreen,1:twister,1:water-gun,20:dragon-breath,25:bubble-beam,30:agility,37:water-pulse,44:dragon-pulse,51:hydro-pump,65:rain-dance	blizzard,double-team,hail,hyper-beam,ice-beam,rain-dance,surf,toxic,water-pulse,waterfall
goldeen	8	1:peck,1:tail-whip,5:supersonic,10:water-pulse,15:horn-attack,20:agility,35:waterfall,45:megahorn	blizzard,double-team,hail,ice-beam,rain-dance,surf,toxic,water-pulse,waterfall
seaking	8	1:peck,1:supersonic,1:tail-whip,1:water-pulse,15:horn-attack,20:agility,37:waterfall,51:megahorn	blizzard,double-team,hail,hyper-beam,ice-beam,rain-dance,surf,toxic,water-pulse,waterfall
staryu	8	1:harden,1:tackle,4:water-gun,8:confuse-ray,12:rapid-spin,20:swift,24:psybeam,28:brine,32:light-screen,36:power-gem,40:psychic,44:surf,48:recover,56:hydro-pump	blizzard,double-team,flash,hail,ice-beam,light-screen,psychic,rain-dance,reflect,surf,thunder,thunderbolt,toxic,water-pulse,waterfall
starmie	8	1:brine,1:confuse-ray,1:harden,1:hydro-pump,1:light-screen,1:power-gem,1:psybeam,1:psychic,1:rapid-spin,1:recover,1:surf,1:swift,1:tackle,1:water-gun	blizzard,double-team,flash,hail,hyper-beam,ice-beam,light-screen,psychic,rain-dance,reflect,surf,thunder,thunderbolt,toxic,water-pulse,waterfall
mr-mime	8	1:pound,12:confusion,28:psybeam,36:light-screen,36:reflect,36:safeguard,44:dazzling-gleam,48:psychic,52:teeter-dance	brick-break,calm-mind,double-team,flash,hyper-beam,light-screen,psychic,rain-dance,reflect,safeguard,shadow-ball,shock-wave,solar-beam,sunny-day,thunder,thunderbolt,toxic
scyther	9	1:leer,1:quick-attack,8:false-swipe,12:wing-attack,16:double-team,20:double-hit,24:slash,32:agility,36:air-slash,40:x-scissor,44:swords-dance	aerial-ace,cut,double-team,hyper-beam,rain-dance,rock-smash,sunny-day,toxic
jynx	8	1:lick,1:pound,1:powder-snow,1:sweet-kiss,12:confusion,16:covet,20:sing,24:fake-tears,28:ice-punch,34:psychic,40:lovely-kiss,58:blizzard	blizzard,brick-break,calm-mind,double-team,flash,hail,hyper-beam,ice-beam,light-screen,psychic,rain-dance,reflect,shadow-ball,toxic,water-pulse
electabuzz	9	1:leer,1:quick-attack,1:thunder-shock,12:swift,16:shock-wave,20:thunder-wave,24:screech,28:thunder-punch,34:discharge,46:thunderbolt,52:light-screen,58:thunder	brick-break,double-team,flash,hyper-beam,iron-tail,light-screen,psychic,rain-dance,rock-smash,shock-wave,strength,thunder,thunderbolt,toxic
magmar	9	1:ember,1:leer,1:smog,1:smokescreen,12:clear-smog,16:flame-wheel,20:confuse-ray,24:scary-face,28:fire-punch,34:lava-plume,46:flamethrower,52:sunny-day,58:fire-blast,64:hyper-beam	brick-break,double-team,fire-blast,flamethrower,hyper-beam,iron-tail,psychic,rock-smash,strength,sunny-day,toxic
pinsir	8	1:harden,1:vise-grip,16:bug-bite,20:storm-throw,24:double-hit,28:vital-throw,32:x-scissor,36:strength,40:swords-dance,44:submission	brick-break,cut,dig,double-team,earthquake,hyper-beam,rain-dance,rock-smash,rock-tomb,strength,sunny-day,toxic
tauros	9	1:tackle,1:tail-whip,10:payback,15:assurance,20:horn-attack,25:scary-face,30:zen-headbutt,35:raging-bull,55:double-edge	blizzard,double-team,earthquake,fire-blast,flamethrower,hyper-beam,ice-beam,iron-tail,rain-dance,rock-smash,rock-tomb,sandstorm,shock-wave,solar-beam,strength,sunny-day,surf,thunder,thunderbolt,toxic,water-pulse
magikarp	9	1:splash,15:tackle	
gyarados	9	1:bite,1:leer,1:splash,1:tackle,1:twister,12:brine,16:scary-face,21:waterfall,24:crunch,28:rain-dance,32:aqua-tail,40:hydro-pump,44:hurricane,52:hyper-beam	blizzard,double-team,earthquake,fire-blast,flamethrower,hail,hyper-beam,ice-beam,rain-dance,rock-smash,sandstorm,strength,surf,thunder,thunderbolt,toxic,water-pulse,waterfall
lapras	9	1:growl,1:water-gun,5:sing,15:life-dew,20:ice-shard,25:confuse-ray,30:water-pulse,35:brine,40:body-slam,45:ice-beam,50:rain-dance,55:hydro-pump	blizzard,double-team,hail,hyper-beam,ice-beam,iron-tail,psychic,rain-dance,rock-smash,safeguard,shock-wave,strength,surf,thunder,thunderbolt,toxic,water-pulse,waterfall
ditto	9	1:transform	
eevee	9	1:covet,1:growl,1:tackle,1:tail-whip,5:sand-attack,10:quick-attack,15:baby-doll-eyes,20:swift,25:bite,40:take-down,45:charm,50:double-edge	dig,double-team,iron-tail,rain-dance,shadow-ball,sunny-day,toxic
vaporeon	9	1:bite,1:charm,1:covet,1:double-edge,1:growl,1:swift,1:tackle,1:tail-whip,1:take-down,1:water-gun,5:sand-attack,10:quick-attack,15:baby-doll-eyes,25:water-pulse,30:aurora-beam,40:muddy-water,45:acid-armor,50:hydro-pump	blizzard,dig,double-team,hail,hyper-beam,ice-beam,iron-tail,rain-dance,shadow-ball,sunny-day,surf,toxic,water-pulse,waterfall
jolteon	9	1:bite,1:charm,1:covet,1:double-edge,1:growl,1:swift,1:tackle,1:tail-whip,1:take-down,1:thunder-shock,5:sand-attack,10:quick-attack,15:baby-doll-eyes,20:thunder-wave,25:double-kick,35:pin-missile,40:discharge,45:agility,50:thunder	dig,double-team,flash,hyper-beam,iron-tail,rain-dance,shadow-ball,shock-wave,sunny-day,thunder,thunderbolt,toxic
flareon	9	1:charm,1:covet,1:double-edge,1:ember,1:growl,1:swift,1:tackle,1:tail-whip,1:take-down,5:sand-attack,10:quick-attack,15:baby-doll-eyes,20:smog,25:bite,40:lava-plume,45:scary-face,50:flare-blitz	dig,double-team,fire-blast,flamethrower,hyper-beam,iron-tail,overheat,rain-dance,shadow-ball,sunny-day,toxic
porygon	9	1:tackle,15:thunder-shock,20:psybeam,30:agility,35:recover,40:discharge,45:tri-attack,50:double-edge,60:zap-cannon	aerial-ace,blizzard,double-team,flash,hyper-beam,ice-beam,iron-tail,psychic,rain-dance,shadow-ball,shock-wave,solar-beam,sunny-day,thunder,thunderbolt,toxic
omanyte	8	1:withdraw,10:sand-attack,15:water-gun,20:leer,25:mud-shot,35:brine,45:rock-blast,50:surf,60:hydro-pump	blizzard,double-team,hail,ice-beam,rain-dance,rock-smash,rock-tomb,sandstorm,surf,toxic,water-pulse,waterfall
omastar	8	1:crunch,1:sand-attack,1:withdraw,15:water-gun,20:leer,25:mud-shot,35:brine,49:rock-blast,56:surf,70:hydro-pump	blizzard,double-team,hail,hyper-beam,ice-beam,rain-dance,rock-smash,rock-tomb,sandstorm,surf,toxic,water-pulse,waterfall
kabuto	8	1:absorb,1:harden,5:scratch,10:sand-attack,15:aqua-jet,20:leer,25:mud-shot,35:brine,45:leech-life,50:liquidation,55:metal-sound,60:stone-edge	aerial-ace,blizzard,dig,double-team,giga-drain,hail,ice-beam,rain-dance,rock-smash,rock-tomb,sandstorm,surf,toxic,water-pulse,waterfall
kabutops	8	1:absorb,1:feint,1:harden,1:night-slash,1:sand-attack,1:scratch,1:slash,15:aqua-jet,20:leer,25:mud-shot,35:brine,49:leech-life,56:liquidation,63:metal-sound,70:stone-edge	aerial-ace,blizzard,brick-break,cut,dig,double-team,giga-drain,hail,hyper-beam,ice-beam,rain-dance,rock-smash,rock-tomb,sandstorm,surf,toxic,water-pulse,waterfall
aerodactyl	8	1:bite,5:supersonic,10:wing-attack,15:scary-face,20:rock-slide,30:crunch,35:iron-head,40:take-down,45:stone-edge,50:agility,55:hyper-beam	aerial-ace,double-team,dragon-claw,earthquake,fire-blast,flamethrower,fly,hyper-beam,iron-tail,rain-dance,rock-smash,rock-tomb,sandstorm,strength,sunny-day,toxic
snorlax	9	1:covet,1:lick,1:screech,1:tackle,16:bite,24:crunch,28:body-slam,36:amnesia,40:high-horsepower,44:hammer-arm	blizzard,brick-break,double-team,earthquake,fire-blast,flamethrower,hyper-beam,ice-beam,psychic,rain-dance,rock-tomb,sandstorm,shadow-ball,shock-wave,solar-beam,strength,sunny-day,surf,thunder,thunderbolt,toxic,water-pulse
articuno	9	1:gust,5:powder-snow,10:reflect,15:ice-shard,20:agility,35:freeze-dry,45:ice-beam,55:hurricane,65:blizzard	aerial-ace,blizzard,double-team,fly,hail,hyper-beam,ice-beam,rain-dance,reflect,rock-smash,sandstorm,sunny-day,toxic,water-pulse
zapdos	9	1:peck,1:thunder-wave,5:thunder-shock,10:light-screen,15:pluck,20:agility,35:drill-peck,45:discharge,50:rain-dance,55:thunder,70:zap-cannon	aerial-ace,double-team,flash,fly,hyper-beam,light-screen,rain-dance,rock-smash,sandstorm,shock-wave,sunny-day,thunder,thunderbolt,toxic
moltres	9	1:gust,1:leer,5:ember,10:safeguard,15:wing-attack,20:agility,30:incinerate,35:air-slash,45:heat-wave,50:sunny-day,55:hurricane,65:overheat	aerial-ace,double-team,fire-blast,flamethrower,fly,hyper-beam,overheat,rain-dance,rock-smash,safeguard,sandstorm,sunny-day,toxic
dratini	9	1:leer,5:twister,10:thunder-wave,20:agility,25:slam,31:aqua-tail,35:dragon-rush,40:safeguard,45:rain-dance,60:hyper-beam	blizzard,double-team,fire-blast,flamethrower,hail,hyper-beam,ice-beam,iron-tail,rain-dance,safeguard,shock-wave,sunny-day,surf,thunder,thunderbolt,toxic,water-pulse,waterfall
dragonair	9	1:leer,1:thunder-wave,1:twister,20:agility,25:slam,33:aqua-tail,39:dragon-rush,46:safeguard,53:rain-dance,74:hyper-beam	blizzard,double-team,fire-blast,flamethrower,hail,hyper-beam,ice-beam,iron-tail,rain-dance,safeguard,shock-wave,sunny-day,surf,thunder,thunderbolt,toxic,water-pulse,waterfall
dragonite	9	1:extreme-speed,1:fire-punch,1:hurricane,1:leer,1:thunder-punch,1:thunder-wave,1:twister,1:wing-attack,20:agility,25:slam,33:aqua-tail,39:dragon-rush,46:safeguard,53:rain-dance,80:hyper-beam	aerial-ace,blizzard,brick-break,cut,double-team,dragon-claw,earthquake,fire-blast,flamethrower,fly,hail,hyper-beam,ice-beam,iron-tail,rain-dance,rock-smash,rock-tomb,safeguard,sandstorm,shock-wave,strength,sunny-day,surf,thunder,thunderbolt,toxic,water-pulse,waterfall
mewtwo	9	1:confusion,1:life-dew,1:swift,16:psycho-cut,24:safeguard,32:amnesia,40:aura-sphere,48:psychic,72:psystrike,80:recover	aerial-ace,blizzard,brick-break,calm-mind,double-team,earthquake,fire-blast,flamethrower,flash,hail,hyper-beam,ice-beam,iron-tail,light-screen,psychic,rain-dance,reflect,rock-smash,rock-tomb,safeguard,sandstorm,shadow-ball,shock-wave,solar-beam,strength,sunny-day,thunder,thunderbolt,toxic,water-pulse
mew	9	1:pound,10:amnesia,40:life-dew,50:nasty-plot,80:transform,90:aura-sphere,100:psychic	aerial-ace,blizzard,brick-break,bullet-seed,calm-mind,cut,dig,double-team,dragon-claw,earthquake,fire-blast,flamethrower,flash,fly,giga-drain,hail,hyper-beam,ice-beam,iron-tail,light-screen,overheat,psychic,rain-dance,reflect,rock-smash,rock-tomb,safeguard,sandstorm,shadow-ball,shock-wave,sludge-bomb,solar-beam,strength,sunny-day,surf,thunder,thunderbolt,toxic,water-pulse,waterfall
steelix	8	1:crunch,1:harden,1:rock-polish,1:rock-throw,1:tackle,12:dragon-breath,20:rock-slide,24:screech,36:slam,40:sandstorm,44:dig,48:iron-tail,52:stone-edge,56:double-edge	cut,dig,double-team,earthquake,hyper-beam,iron-tail,rock-smash,rock-tomb,sandstorm,strength,sunny-day,toxic
tyranitar	9	1:dark-pulse,1:iron-defense,1:leer,1:payback,1:rock-throw,1:tackle,9:bite,12:scary-face,15:rock-slide,18:stomping-tantrum,21:screech,27:crunch,33:earthquake,37:stone-edge,47:sandstorm,52:hyper-beam	aerial-ace,blizzard,brick-break,cut,dig,double-team,dragon-claw,earthquake,fire-blast,flamethrower,hyper-beam,ice-beam,iron-tail,rain-dance,rock-smash,rock-tomb,sandstorm,shock-wave,strength,sunny-day,surf,thunder,thunderbolt,toxic,water-pulse
kingdra	9	1:leer,1:smokescreen,1:twister,1:water-gun,20:dragon-breath,25:bubble-beam,30:agility,37:water-pulse,44:dragon-pulse,51:hydro-pump,65:rain-dance,72:wave-crash	blizzard,double-team,hail,hyper-beam,ice-beam,rain-dance,surf,toxic,water-pulse,waterfall
bellossom	9	1:absorb,1:acid,1:giga-drain,1:mega-drain,1:moonblast,1:petal-blizzard,1:poison-powder,1:sleep-powder,1:stun-spore,1:sweet-scent,1:toxic	bullet-seed,cut,double-team,flash,giga-drain,hyper-beam,safeguard,sludge-bomb,solar-beam,sunny-day,toxic
espeon	9	1:bite,1:charm,1:confusion,1:covet,1:double-edge,1:growl,1:tackle,1:tail-whip,1:take-down,5:sand-attack,10:quick-attack,15:baby-doll-eyes,20:swift,25:psybeam,40:psychic	calm-mind,cut,dig,double-team,flash,hyper-beam,iron-tail,light-screen,psychic,rain-dance,reflect,shadow-ball,sunny-day,toxic
umbreon	9	1:bite,1:charm,1:covet,1:double-edge,1:growl,1:swift,1:tackle,1:tail-whip,1:take-down,5:sand-attack,10:quick-attack,15:baby-doll-eyes,20:confuse-ray,25:assurance,40:dark-pulse,45:screech	cut,dig,double-team,flash,hyper-beam,iron-tail,psychic,rain-dance,shadow-ball,sunny-day,toxic
slowking	9	1:growl,1:nasty-plot,1:power-gem,1:tackle,1:water-gun,12:confusion,18:water-pulse,21:headbutt,27:amnesia,30:surf,33:slack-off,36:psychic,42:rain-dance	blizzard,brick-break,calm-mind,dig,double-team,earthquake,fire-blast,flamethrower,flash,hail,hyper-beam,ice-beam,iron-tail,psychic,rain-dance,rock-smash,safeguard,shadow-ball,strength,sunny-day,surf,toxic,water-pulse
houndoom	9	1:ember,1:howl,1:leer,1:nasty-plot,1:smog,16:bite,20:incinerate,50:flamethrower,56:crunch,62:inferno	double-team,fire-blast,flamethrower,hyper-beam,iron-tail,overheat,rock-smash,shadow-ball,sludge-bomb,solar-beam,strength,sunny-day,toxic
hitmontop	9	1:feint,1:tackle,4:quick-attack,16:rapid-spin,28:agility,32:dig	brick-break,dig,double-team,earthquake,rain-dance,rock-smash,sandstorm,strength,sunny-day,toxic
scizor	9	1:agility,1:air-slash,1:bullet-punch,1:false-swipe,1:leer,1:quick-attack,1:wing-attack,12:metal-claw,16:double-team,20:double-hit,24:slash,32:iron-defense,36:iron-head,40:x-scissor,44:swords-dance	aerial-ace,cut,double-team,hyper-beam,rain-dance,rock-smash,sandstorm,strength,sunny-day,toxic
blissey	9	1:charm,1:covet,1:disarming-voice,1:pound,1:sweet-kiss,4:tail-whip,12:life-dew,16:sing,24:take-down,36:light-screen,40:double-edge,44:soft-boiled	blizzard,brick-break,calm-mind,double-team,earthquake,fire-blast,flamethrower,flash,hail,hyper-beam,ice-beam,iron-tail,light-screen,psychic,rain-dance,rock-smash,rock-tomb,safeguard,sandstorm,shadow-ball,shock-wave,solar-beam,strength,sunny-day,thunder,thunderbolt,toxic,water-pulse
crobat	8	1:absorb,1:astonish,1:cross-poison,1:screech,1:supersonic,1:toxic,15:poison-fang,27:air-cutter,34:bite,48:venoshock,55:confuse-ray,62:air-slash,69:leech-life	aerial-ace,double-team,fly,giga-drain,hyper-beam,rain-dance,shadow-ball,sludge-bomb,sunny-day,toxic
milotic	9	1:splash,1:tackle,1:water-gun,1:water-pulse,4:disarming-voice,8:twister,20:life-dew,28:recover,32:aqua-tail,36:safeguard,40:surf,44:rain-dance,52:hydro-pump	blizzard,double-team,hail,hyper-beam,ice-beam,iron-tail,rain-dance,safeguard,surf,toxic,water-pulse,waterfall
manectric	8	1:howl,1:leer,1:tackle,1:thunder-wave,12:quick-attack,16:shock-wave,20:bite,36:discharge,54:thunder	double-team,flash,hyper-beam,iron-tail,rain-dance,shock-wave,strength,thunder,thunderbolt,toxic
gardevoir	9	1:charm,1:confusion,1:dazzling-gleam,1:disarming-voice,1:double-team,1:growl,9:hypnosis,12:draining-kiss,15:teleport,18:psybeam,23:life-dew,35:calm-mind,42:psychic,49:moonblast	calm-mind,double-team,flash,hyper-beam,light-screen,psychic,rain-dance,reflect,safeguard,shadow-ball,shock-wave,sunny-day,thunderbolt,toxic
hariyama	9	1:brine,1:sand-attack,1:tackle,19:knock-off	brick-break,dig,double-team,earthquake,hyper-beam,rain-dance,rock-smash,rock-tomb,strength,sunny-day,surf,toxic
banette	9	1:knock-off,1:screech,16:will-o-wisp,22:hex,30:shadow-ball	calm-mind,double-team,flash,hyper-beam,psychic,rain-dance,shadow-ball,shock-wave,sunny-day,thunder,thunderbolt,toxic
salamence	9	1:bite,1:dragon-breath,1:ember,1:fly,1:leer,15:headbutt,20:scary-face,25:crunch,33:dragon-claw,39:zen-headbutt,55:flamethrower,73:double-edge	aerial-ace,brick-break,cut,double-team,dragon-claw,earthquake,fire-blast,flamethrower,fly,hyper-beam,iron-tail,rain-dance,rock-smash,rock-tomb,strength,sunny-day,toxic
metagross	9	1:bullet-punch,1:confusion,1:hammer-arm,1:metal-claw,1:tackle,6:zen-headbutt,16:flash-cannon,26:take-down,34:psychic,42:scary-face,52:meteor-mash,62:iron-defense,72:agility,82:hyper-beam	aerial-ace,brick-break,cut,double-team,earthquake,flash,hyper-beam,light-screen,psychic,rain-dance,reflect,rock-smash,rock-tomb,sandstorm,shadow-ball,sludge-bomb,strength,sunny-day,toxic
rhyperior	9	1:bulldoze,1:hammer-arm,1:tackle,1:tail-whip,15:horn-attack,20:scary-face,25:stomp,30:rock-blast,35:drill-run,40:take-down,47:earthquake,54:stone-edge,61:megahorn	blizzard,body-slam,brick-break,bulldoze,crunch,dig,double-edge,dragon-pulse,drill-run,earth-power,earthquake,fire-blast,fire-punch,flamethrower,flash-cannon,high-horsepower,hydro-pump,hyper-beam,ice-beam,ice-punch,icy-wind,iron-defense,iron-head,metal-claw,mud-shot,mud-slap,poison-jab,rain-dance,rock-blast,rock-slide,rock-tomb,sandstorm,scary-face,smart-strike,stomping-tantrum,stone-edge,sunny-day,surf,swords-dance,take-down,thunder,thunder-punch,thunderbolt
roserade	8	1:absorb,1:giga-drain,1:mega-drain,1:petal-blizzard,1:poison-sting,1:stun-spore,1:sweet-scent,1:toxic	body-slam,bullet-seed,dazzling-gleam,giga-drain,hyper-beam,leaf-storm,pin-missile,poison-jab,power-whip,rain-dance,round,seed-bomb,shadow-ball,sludge-bomb,solar-beam,sunny-day,swift,swords-dance,venoshock
tangrowth	8	1:absorb,1:stun-spore,12:mega-drain,16:vine-whip,20:poison-powder,28:knock-off,32:giga-drain,36:sleep-powder,40:slam,48:power-whip	amnesia,body-slam,brick-break,bulldoze,bullet-seed,earthquake,giga-drain,hyper-beam,leaf-storm,payback,poison-jab,power-whip,reflect,rock-slide,rock-tomb,round,seed-bomb,sludge-bomb,solar-beam,stomping-tantrum,sunny-day,swords-dance
toxicroak	9	1:astonish,1:mud-slap,1:poison-sting,20:venoshock,32:poison-jab,36:toxic,42:nasty-plot,48:sludge-bomb	acid-spray,aerial-ace,brick-break,bulldoze,dark-pulse,dig,drain-punch,earthquake,gunk-shot,hyper-beam,ice-punch,icy-wind,knock-off,low-sweep,mud-shot,mud-slap,nasty-plot,poison-jab,rain-dance,rock-slide,rock-tomb,scary-face,shadow-ball,sludge-bomb,sludge-wave,stone-edge,sunny-day,swords-dance,take-down,thunder-punch,toxic,vacuum-wave,venoshock,x-scissor
magmortar	9	1:ember,1:leer,1:smog,1:smokescreen,12:clear-smog,16:flame-wheel,20:confuse-ray,24:scary-face,28:fire-punch,34:lava-plume,46:flamethrower,52:sunny-day,58:fire-blast,64:hyper-beam	acid-spray,body-slam,brick-break,bulldoze,confuse-ray,double-edge,earthquake,fire-blast,fire-punch,flame-charge,flamethrower,flare-blitz,heat-wave,hyper-beam,hyper-voice,knock-off,low-sweep,overheat,poison-jab,psychic,rock-slide,rock-tomb,scary-face,solar-beam,stomping-tantrum,sunny-day,take-down,thunder-punch,thunderbolt,will-o-wisp
electivire	9	1:leer,1:quick-attack,1:thunder-shock,12:swift,16:shock-wave,20:thunder-wave,24:screech,28:thunder-punch,34:discharge,46:thunderbolt,52:light-screen,58:thunder	body-slam,brick-break,bulldoze,charge-beam,dig,double-edge,earthquake,eerie-impulse,fire-punch,flamethrower,hyper-beam,ice-punch,knock-off,light-screen,low-sweep,metal-sound,psychic,rain-dance,reflect,rock-slide,rock-tomb,stomping-tantrum,swift,take-down,thunder,thunder-punch,thunder-wave,thunderbolt
garchomp	9	1:crunch,1:dragon-breath,1:sand-attack,1:tackle,18:bulldoze,27:bite,34:slash,42:dragon-claw,52:dig,62:sandstorm,72:take-down,82:dragon-rush	aerial-ace,body-slam,brick-break,bulldoze,crunch,dig,double-edge,dragon-claw,dragon-pulse,earth-power,earthquake,false-swipe,fire-blast,flamethrower,hyper-beam,iron-head,liquidation,metal-claw,mud-shot,poison-jab,power-gem,rain-dance,rock-slide,rock-tomb,sandstorm,scary-face,stomping-tantrum,stone-edge,sunny-day,surf,swift,swords-dance,take-down
abomasnow	9	1:ice-punch,1:leer,1:powder-snow,15:ice-shard,20:razor-leaf,25:icy-wind,43:wood-hammer,49:blizzard	blizzard,body-slam,brick-break,bulldoze,bullet-seed,double-edge,earth-power,earthquake,giga-drain,hyper-beam,ice-beam,ice-punch,icicle-spear,icy-wind,leaf-storm,mud-slap,rain-dance,rock-slide,rock-tomb,scary-face,seed-bomb,solar-beam,stomping-tantrum,swords-dance,take-down,water-pulse
